id,Task,Classification
231,Board decision‑making,Human-Critical
232,Approving corporate governance frameworks,Human-Critical
233,Ethical trade‑off decisions,Human-Critical
234,Responding to regulators,Human-Critical
235,Handling legal liability judgments,Human-Critical
236,Approving data ethics policies,Human-Critical
237,Investigating misconduct at executive level,Human-Critical
238,Making compliance exception decisions,Human-Critical
239,Oversight of audit committees,Human-Critical
240,Ensuring fiduciary duties,Human-Critical
241,Deciding transformation priorities,Human-Critical
242,Shutting down major programmes,Human-Critical
243,Authorising organisational redesign,Human-Critical
244,Managing enterprise‑wide change fatigue,Human-Critical
245,Aligning senior stakeholders,Human-Critical
246,Leading post‑merger integration,Human-Critical
247,Managing divestments,Human-Critical
248,Approving outsourcing strategy,Human-Critical
249,Balancing innovation vs stability,Human-Critical
250,Championing strategic initiatives,Human-Critical
251,Managing key customer relationships,Human-Critical
252,Handling major customer escalations,Human-Critical
253,Building trust with OEM partners,Human-Critical
254,Negotiating joint ventures,Human-Critical
255,Managing brand reputation crises,Human-Critical
256,Approving public messaging,Human-Critical
257,Building government relationships,Human-Critical
258,Representing industry interests,Human-Critical
259,Managing public inquiries,Human-Critical
260,Leading sustainability commitments,Human-Critical
261,Setting product vision,Human-Critical
262,Approving new product direction,Human-Critical
263,Balancing safety vs cost decisions,Human-Critical
264,Approving autonomous technology strategy,Human-Critical
265,Managing ethical AI use,Human-Critical
266,Deciding intellectual property strategy,Human-Critical
267,Aligning innovation investment,Human-Critical
268,Leading R&D prioritisation,Human-Critical
269,Sponsoring breakthrough innovation,Human-Critical
270,Accepting innovation risk,Human-Critical
271,Designing company structure,Human-Critical
272,Approving leadership appointments,Human-Critical
273,Managing organisational trust,Human-Critical
274,Defining accountability models,Human-Critical
275,Balancing performance and wellbeing,Human-Critical
276,Handling sensitive communications,Human-Critical
277,Leading company‑wide town halls,Human-Critical
278,Upholding organisational integrity,Human-Critical
279,Protecting company legacy,Human-Critical
280,Shaping employer brand,Human-Critical
281,Responding to cyber breaches,Human-Critical
282,Managing fatal incidents investigations,Human-Critical
283,Deciding plant closures (commercial side impact),Human-Critical
284,Addressing major legal claims,Human-Critical
285,Managing activist investor pressure,Human-Critical
286,Responding to supply chain collapses,Human-Critical
287,Handling major compliance failures,Human-Critical
288,Navigating public scrutiny,Human-Critical
289,Making emergency funding decisions,Human-Critical
290,Deciding litigation settlements,Human-Critical
291,Building executive relationships,Human-Critical
292,Coaching senior leaders,Human-Critical
293,Handling confidential information,Human-Critical
294,Exercising moral judgment,Human-Critical
295,Inspiring workforce confidence,Human-Critical
296,Leading through uncertainty,Human-Critical
297,Managing power dynamics,Human-Critical
298,Balancing long‑term vs short‑term gain,Human-Critical
299,Setting leadership tone,Human-Critical
300,Being ultimately accountable,Human-Critical
